"행정구역","2018년01월_남자 평균연령","2018년01월_여자 평균연령","2018년01월_평균연령"
"전국  (1)","40.4","42.7","41.6"
"서울특별시  (1100000000)","40.8","42.6","41.7"
"부산광역시  (2600000000)","42.1","44.7","43.4"
"대구광역시  (2700000000)","40.3","43.1","41.7"
"인천광역시  (2800000000)","39.6","41.4","40.5"
"광주광역시  (2900000000)","38.5","40.8","39.7"
"대전광역시  (3000000000)","39.1","41.1","40.1"
"울산광역시  (3100000000)","38.7","40.5","39.6"
"세종특별자치시  (3600000000)","36.0","37.3","36.7"
"경기도  (4100000000)","39.0","40.7","39.8"
"강원도  (4200000000)","42.6","45.7","44.1"
"충청북도  (4300000000)","41.1","43.8","42.4"
"충청남도  (4400000000)","41.2","44.0","42.6"
"전라북도  (4500000000)","42.1","45.3","43.7"
"전라남도  (4600000000)","43.2","47.0","45.1"
"경상북도  (4700000000)","42.6","46.2","44.4"
"경상남도  (4800000000)","40.5","43.5","42.0"
"제주특별자치도  (5000000000)","39.7","42.2","40.9"
